"status","object","key","field","before","now","proposed","pathway","verdict","round","source","why"
"APPLIED","MMS_FRAC_DEFAULTS_2019","daily_spread","frac_gas_high","0.1","0.6","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Daily spread: 0.07 (0.05-0.60), leach 0",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","daily_spread","frac_gas_low","0.04","0.05","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Daily spread: 0.07 (0.05-0.60), leach 0",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","dry_lot","frac_gas_high","0.45","0.5","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Dry lot: 0.30 (0.20-0.50), leach 0.035 (0-0.07) per footnote 4",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","dry_lot","frac_gas_low","0.15","0.2","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Dry lot: 0.30 (0.20-0.50), leach 0.035 (0-0.07) per footnote 4",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","liquid_slurry","frac_gas","0.48","0.3","","indirect N2O (volatilisation)","CONFIRMED","","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Liquid/Slurry With natural crust cover: 0.30 (0.09-0.36), leach 0",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","liquid_slurry","frac_gas_high","0.72","0.36","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Liquid/Slurry With natural crust cover: 0.30 (0.09-0.36), leach 0",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","liquid_slurry","frac_gas_low","0.24","0.09","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Liquid/Slurry With natural crust cover: 0.30 (0.09-0.36), leach 0",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","solid_storage","frac_gas_high","0.68","0.65","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Solid storage plain: 0.45 (0.10-0.65), leach 0.02",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","solid_storage","frac_gas_low","0.23","0.1","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Solid storage plain: 0.45 (0.10-0.65), leach 0.02",""
"APPLIED","PARAM_CATALOGUE","Bo","ipcc_ref","Table 10.16","Table 10.16A","","manure CH4","META","","Corrected citation, not a value change. Table 10.16 is the deer, reindeer, rabbit and fur-bearing animal emission-factor table in both editions. The cattle Bo values are in Table 10.16A (Updated) of the 2019 Refinement.",""
"APPLIED","PARAM_CATALOGUE","Bo","suggested_uncertainty_pct","20","15","","manure CH4","CONFIRMED","ours","2019R V4 Ch10 Table 10.16A (Updated), Other regions low productivity footer: uncertainty +/- 15%",""
"APPLIED","YM_BY_SUBCAT","bulls","ym_2019_refinement","6.5","7","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Non dairy and multi-purpose, >75% forage, DE <= 62, Ym 7.0%. Annex 10A.2 confirms it independently: every non-dairy row of the Africa block carries 7.0, calves on forage included. For other_cows, which includes dry dairy cows, footnote 4: 'Ym cited for dairy cattle are for lactating dairy cows. For dairy cattle during their dry phase, in high and medium production systems, the non-dairy high quality forage value (6.3) should be selected and for low production systems with >75% low quality forage the value of (7.0) should be selected' sends them to the same 7.0",""
"APPLIED","YM_BY_SUBCAT","calves_female","ym_2019_refinement","6.5","7","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Non dairy and multi-purpose, >75% forage, DE <= 62, Ym 7.0%. Annex 10A.2 confirms it independently: every non-dairy row of the Africa block carries 7.0, calves on forage included. For other_cows, which includes dry dairy cows, footnote 4: 'Ym cited for dairy cattle are for lactating dairy cows. For dairy cattle during their dry phase, in high and medium production systems, the non-dairy high quality forage value (6.3) should be selected and for low production systems with >75% low quality forage the value of (7.0) should be selected' sends them to the same 7.0",""
"APPLIED","YM_BY_SUBCAT","calves_male","ym_2019_refinement","6.5","7","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Non dairy and multi-purpose, >75% forage, DE <= 62, Ym 7.0%. Annex 10A.2 confirms it independently: every non-dairy row of the Africa block carries 7.0, calves on forage included. For other_cows, which includes dry dairy cows, footnote 4: 'Ym cited for dairy cattle are for lactating dairy cows. For dairy cattle during their dry phase, in high and medium production systems, the non-dairy high quality forage value (6.3) should be selected and for low production systems with >75% low quality forage the value of (7.0) should be selected' sends them to the same 7.0",""
"APPLIED","YM_BY_SUBCAT","feedlot_cattle","ym_2006","6.5","3","","enteric CH4","CONFIRMED","","2006 V4 Ch10 Table 10.12, p.10.30: 'Feedlot fed Cattle' 3.0%, footnote a 'when fed diets contain 90 percent or more concentrates'",""
"APPLIED","YM_BY_SUBCAT","feedlot_cattle","ym_2019_refinement","6.5","4","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Feedlot (all other grains, 0-15% forage), DE >= 72, Ym 4.0%. Annex 10A.2 Latin America Feedlot cattle confirms it at DE 74. North America feedlot sits at DE 75 with Ym 3.0, the steam-flaked corn row",""
"APPLIED","YM_BY_SUBCAT","growing_males","ym_2019_refinement","6.5","7","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Non dairy and multi-purpose, >75% forage, DE <= 62, Ym 7.0%. Annex 10A.2 confirms it independently: every non-dairy row of the Africa block carries 7.0, calves on forage included. For other_cows, which includes dry dairy cows, footnote 4: 'Ym cited for dairy cattle are for lactating dairy cows. For dairy cattle during their dry phase, in high and medium production systems, the non-dairy high quality forage value (6.3) should be selected and for low production systems with >75% low quality forage the value of (7.0) should be selected' sends them to the same 7.0",""
"APPLIED","YM_BY_SUBCAT","heifers","ym_2019_refinement","6.5","7","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Non dairy and multi-purpose, >75% forage, DE <= 62, Ym 7.0%. Annex 10A.2 confirms it independently: every non-dairy row of the Africa block carries 7.0, calves on forage included. For other_cows, which includes dry dairy cows, footnote 4: 'Ym cited for dairy cattle are for lactating dairy cows. For dairy cattle during their dry phase, in high and medium production systems, the non-dairy high quality forage value (6.3) should be selected and for low production systems with >75% low quality forage the value of (7.0) should be selected' sends them to the same 7.0",""
"APPLIED","YM_BY_SUBCAT","other_cows","ym_2019_refinement","6.5","7","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Non dairy and multi-purpose, >75% forage, DE <= 62, Ym 7.0%. Annex 10A.2 confirms it independently: every non-dairy row of the Africa block carries 7.0, calves on forage included. For other_cows, which includes dry dairy cows, footnote 4: 'Ym cited for dairy cattle are for lactating dairy cows. For dairy cattle during their dry phase, in high and medium production systems, the non-dairy high quality forage value (6.3) should be selected and for low production systems with >75% low quality forage the value of (7.0) should be selected' sends them to the same 7.0",""
"APPLIED","YM_BY_SUBCAT","oxen","ym_2019_refinement","6.5","7","","enteric CH4","CONFIRMED","","2019R V4 Ch10 Table 10.12 (Updated): Non dairy and multi-purpose, >75% forage, DE <= 62, Ym 7.0%. Annex 10A.2 confirms it independently: every non-dairy row of the Africa block carries 7.0, calves on forage included. For other_cows, which includes dry dairy cows, footnote 4: 'Ym cited for dairy cattle are for lactating dairy cows. For dairy cattle during their dry phase, in high and medium production systems, the non-dairy high quality forage value (6.3) should be selected and for low production systems with >75% low quality forage the value of (7.0) should be selected' sends them to the same 7.0",""
"PROPOSED","IPCC_DEFAULTS_BY_REGION","asia","default_val","350","350","(decide)","QA benchmark only, not a calculation input","DEVIATION_OPEN","R7 #3","Table 10A.1 Asia dairy 386 kg (low productivity 355); Table 10A.2 Asia Mature Females 376, grazing 305. The 350 used here matches no Asia row; the only published 350 is Indian subcontinent high-productivity dairy","Table 10A.1 Asia dairy is 386 (low productivity 355); Table 10A.2 Asia gives 376 and 305. The shipped 350 matches no Asia row. Review round 7 item 3 kept this object for BW only after the other benchmarks were withdrawn."
"PROPOSED","IPCC_DEFAULTS_BY_REGION","oceania","default_val","500","500","(decide)","QA benchmark only, not a calculation input","DEVIATION_OPEN","R7 #3","Table 10A.1 Oceania dairy 488 kg; Table 10A.2 Oceania Mature Females 416, Mature Males 467. The 500 used here appears in no Oceania row","Table 10A.1 Oceania dairy is 488; Table 10A.2 gives 416 and 467. The shipped 500 appears in no Oceania row. Same review provenance as asia."
"PROPOSED","PARAM_CATALOGUE","Fat","ipcc_default","4.3","4.3","no change","gross energy, so enteric CH4 + manure CH4","CONFIRMED","R8 p7","2019R V4 Ch10 Table 10A.1 (New), Africa dairy row, p.10.104: fat content 4.3%","CONFIRMED and robust. Table 10A.1 gives 4.3 for Africa in all three rows (aggregate, high productivity and low productivity), so no choice of productivity basis can change it. The round 8 comment that IPCC 2019 gives 4.3 for Africa is exactly right. Listed only so the reviewer can see it was rechecked."
"PROPOSED","PARAM_CATALOGUE","Milk","ipcc_default","3.5","3.5","3.5 or 1.2","gross energy, so enteric CH4 + manure CH4","CONFIRMED","R8 p7","2019R V4 Ch10 Table 10A.1 (New), Africa dairy row, p.10.104: milk yield 3.5 kg/day","3.5 is the Africa AGGREGATE row of Table 10A.1, which footnote 4 defines as a weighted average of high-productivity (5.8) and low-productivity (1.2) systems. The round 8 move from an unsourced 4.0 to 3.5 was right for that row. The open question is which row the tool should sit on: Bo is 0.13 on the stated basis of 'other regions, LOW productivity' and Ca is 0.17, the Pasture/Range coefficient that Table 10A.1 attaches to the low-productivity row, while the aggregate row is Stall Fed. On a consistent low-productivity basis Africa dairy milk is 1.2. Measured for dairy cows per 100,000 head: enteric CH4 6957.7 t/yr at 3.5 against 5929.6 t/yr at 1.2, a 14.8% difference. Separately, footnote 1 says the published figure is milk yield per day across the WHOLE YEAR, while the tool defines the field as per-lactating-cow and multiplies by pct_pregnant, discounting it a second time (NE_l 15% low)."
"OPEN","MMS_DEFAULTS","composting","mcf_boreal","0.5","0.5","1.0","manure CH4","DEVIATION_OPEN","","0.5 is the 2006 Table 10.17 Composting - Static pile value, and also the 2019R In-vessel value. 2019R V4 Ch10 Table 10.17 (Updated) gives Composting - Static pile (Forced aeration) 1.00 / 2.00 / 2.50. The row declares the Static Pile variant and its EF3 and Frac both follow Static Pile under 2019R, so the MCF is the one coefficient still on the other edition's reading","See mcf_tropical: the MCF is the only coefficient on this row still reading the other edition's variant."
"OPEN","MMS_DEFAULTS","composting","mcf_temperate","1","0.5","2.0","manure CH4","DEVIATION_OPEN","","0.5 is the 2006 Table 10.17 Composting - Static pile value, and also the 2019R In-vessel value. 2019R V4 Ch10 Table 10.17 (Updated) gives Composting - Static pile (Forced aeration) 1.00 / 2.00 / 2.50. The row declares the Static Pile variant and its EF3 and Frac both follow Static Pile under 2019R, so the MCF is the one coefficient still on the other edition's reading","See mcf_tropical: the MCF is the only coefficient on this row still reading the other edition's variant."
"OPEN","MMS_DEFAULTS","composting","mcf_tropical","1.5","0.5","2.5","manure CH4","DEVIATION_OPEN","ours","0.5 is the 2006 Table 10.17 Composting - Static pile value, and also the 2019R In-vessel value. 2019R V4 Ch10 Table 10.17 (Updated) gives Composting - Static pile (Forced aeration) 1.00 / 2.00 / 2.50. The row declares the Static Pile variant and its EF3 and Frac both follow Static Pile under 2019R, so the MCF is the one coefficient still on the other edition's reading","The row declares the Static Pile variant and its EF3 (0.010) and Frac (0.65) both follow it, but 0.5 is the 2019R In-vessel figure. 2019R Table 10.17 gives Composting - Static pile (Forced aeration) 1.00 cool / 2.00 temperate / 2.50 warm. Correct as-is under 2006, where static pile is 0.5."
"OPEN","MMS_DEFAULTS","composting","mcf_tropical_dry","1.5","0.5","2.5","manure CH4","DEVIATION_DOCUMENTED","","Mirrors mcf_tropical on every system. The 2019 Refinement splits ten climate zones including Tropical Dry, which the tool's four-band model does not resolve; the tropical value is used for both","See mcf_tropical. This column mirrors mcf_tropical on every system, so it moves with it."
"OPEN","MMS_FRAC_DEFAULTS_2019","anaerobic_digester","frac_gas_high","0.08","0.08","0.50","indirect N2O (volatilisation)","DEVIATION_OPEN","","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98 gives Anaerobic digester as a bare range 0.05 to 0.50 with no central value. Footnote 3 assigns 0.05 to high-dry-matter covered digestate and up to 0.50 to uncovered. The tool takes 0.05 as the central and then applies bounds 0.02 to 0.08, so its whole sampled range sits at or below IPCC's floor and its upper bound is six times below IPCC's ceiling","Table 10.22 gives Anaerobic digester as a bare range 0.05 to 0.50 with no central. The tool takes 0.05 as the central and samples 0.02 to 0.08, so its whole range sits at or below IPCC's floor and its ceiling is six times too low."
"OPEN","PARAM_CATALOGUE","MilkPR","ipcc_default","3.3","3.3","3.6","gross energy, so enteric CH4 + manure CH4","DEVIATION_OPEN","","Both Africa rows give protein content 3.6% (Table 10A.1 and Table 10A.2), and the tool's own documented route %MilkPR = 1.9 + 0.4 x %Fat gives 3.62 at Fat 4.3. No IPCC reading supports 3.3; 3.3 is what that formula returns for Fat 3.5, the value Fat held before it was corrected","Both candidate Africa rows give milk protein 3.6% (Table 10A.1 dairy and Table 10A.2 non-dairy grazing), and the tool's own documented route %MilkPR = 1.9 + 0.4 x %Fat gives 3.62 at Fat 4.3. The shipped 3.3 is what that formula returns for Fat 3.5, the value Fat held before review round 8 corrected it. No IPCC reading supports 3.3."
"OPEN","PARAM_CATALOGUE","MW","ipcc_ref","Table 10A.2","Table 10A.2","(none)","gross energy, so enteric CH4 + manure CH4","META","","Citation change only, no value moved.","Cites Table 10A.2, which has no mature-weight column; neither does Table 10A.1. IPCC publishes no default for mature weight. Review round 7 item 3 raised exactly this; the companion value (400 kg BW) was fixed and this citation was not."
"OPEN","PARAM_CATALOGUE","pct_pregnant","ipcc_default","0.6","0.6","0.54","gross energy, so enteric CH4 + manure CH4","DEVIATION_OPEN","","Table 10A.1 Africa dairy gives 54%; Table 10A.2 Africa grazing 54%, Pasture/Range 62%. The 0.60 default matches no row","Table 10A.1 Africa dairy and Table 10A.2 Africa grazing both give 54% pregnant. The shipped 0.60 matches no row in either table."
"OPEN","PCT_PREGNANT_BY_SUBCAT","dairy_cows","value","0.85","0.85","0.54","gross energy and N excretion","DEVIATION_OPEN","","Table 10A.1 Africa dairy gives 54% pregnant and Table 10A.2 Africa grazing 54%. The 0.85 used for cows is the Eastern Europe dairy figure and the 0.50 for heifers matches no row, so this object is on a different regional basis from every other default in the tool","0.85 is the Eastern Europe dairy rate. Every other default in the tool is on an Africa basis, where both annex tables give 54%."
"OPEN","PCT_PREGNANT_BY_SUBCAT","other_cows","value","0.85","0.85","0.54","gross energy and N excretion","DEVIATION_OPEN","","Table 10A.1 Africa dairy gives 54% pregnant and Table 10A.2 Africa grazing 54%. The 0.85 used for cows is the Eastern Europe dairy figure and the 0.50 for heifers matches no row, so this object is on a different regional basis from every other default in the tool","As dairy_cows: 0.85 is the Eastern Europe rate, Africa is 54% in both annex tables."
