"object","key","field","value","row_order","baseline_commit","baseline_date"
"PARAM_CATALOGUE","BW","ipcc_ref","Table 10A.2","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","ipcc_software_name","BW — Body weight (kg) [also TAM = Typical Animal Mass; IPCC Eq 10.3/10.6/10.17/10.18]","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","definition","Mature (adult) body weight of the animals","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","unit","kg","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","ipcc_default","300","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","suggested_uncertainty_pct","10","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","suggested_distribution","normal","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","suggested_lower_bound",<NA>,"3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","suggested_upper_bound",<NA>,"3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","param_type","coefficient","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","param_tier","core","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","user_reducible","TRUE","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","ipcc_ref","Table 10A.2","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","MW","ipcc_software_name","(MW) — Mature body weight, used in NEg equation","3","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","definition","Average daily weight gain — set 0 for non-growing (adult) animals","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","unit","kg/day","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","ipcc_default","0","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","suggested_uncertainty_pct","30","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","suggested_distribution","pert","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","suggested_lower_bound",<NA>,"4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","suggested_upper_bound",<NA>,"4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","param_type","coefficient","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","param_tier","core","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","user_reducible","TRUE","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","ipcc_ref","Table 10A.1","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","WG","ipcc_software_name","WG — Daily weight gain (Average Daily Feed Intake tab)","4","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","definition","Daily milk yield per lactating cow (not sub-category-average — the tool multiplies by pct_pregnant internally). Set 0 for sub-categories that do not lactate.","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","unit","kg/head/day","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","ipcc_default","3.5","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","suggested_uncertainty_pct","20","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","suggested_distribution","normal","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","suggested_lower_bound",<NA>,"5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","suggested_upper_bound",<NA>,"5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","param_type","coefficient","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","param_tier","core","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","user_reducible","TRUE","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","ipcc_ref","","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Milk","ipcc_software_name","Milk — Average daily milk production (kg/day)","5","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","definition","Fat content of milk (% by weight)","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","unit","%","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","ipcc_default","4.3","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","suggested_uncertainty_pct","10","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","suggested_distribution","normal","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","suggested_lower_bound",<NA>,"6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","suggested_upper_bound",<NA>,"6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","param_type","coefficient","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","param_tier","core","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","user_reducible","TRUE","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","ipcc_ref","","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Fat","ipcc_software_name","Fat — Fat content of milk (% by weight)","6","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","definition","Fraction of females in this sub-category that are pregnant during the year, between 0 and 1 — includes pregnant heifers that have not yet calved. Weights Cpregnancy in IPCC Eq 10.13 (NEp) and the milk-N retention term in Eq 10.33; the tool also applies it as the lactation-weight in Eq 10.8 (NEl). For sub-categories where lactation and pregnancy populations differ, enter the pregnancy fraction.","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","unit","fraction (0-1)","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","ipcc_default","0.6","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","suggested_uncertainty_pct","20","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","suggested_distribution","beta","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","suggested_lower_bound",<NA>,"7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","suggested_upper_bound",<NA>,"7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","param_type","coefficient","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","param_tier","core","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","user_reducible","TRUE","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","ipcc_ref","","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","pct_pregnant","ipcc_software_name","pct_pregnant — Fraction of females pregnant in a year (Cpregnancy weight in Eq 10.13; includes pregnant heifers)","7","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","definition","Digestible energy as a percentage of gross energy — typical range 45-75%","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","unit","%","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","ipcc_default","55","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","suggested_uncertainty_pct","15","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","suggested_distribution","normal","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","suggested_lower_bound",<NA>,"8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","suggested_upper_bound",<NA>,"8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","param_type","coefficient","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","param_tier","core","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","user_reducible","TRUE","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","ipcc_ref","Eq 10.14--16","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","DE","ipcc_software_name","DE% — Feed digestibility (%)","8","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","definition","Maintenance energy coefficient — depends on sex and lactation status (IPCC Table 10.4)","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","unit","MJ/day/kg^0.75","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","ipcc_default","0.386","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","suggested_uncertainty_pct","30","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","suggested_distribution","pert","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","suggested_lower_bound",<NA>,"9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","suggested_upper_bound",<NA>,"9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","param_type","coefficient","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","param_tier","advanced","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","user_reducible","FALSE","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","ipcc_ref","Table 10.4","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cfi","ipcc_software_name","Cfi — Coefficient for calculating Net Energy for Maintenance","9","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","definition","Activity coefficient for locomotion energy — depends on feeding situation (IPCC Table 10.5)","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","unit","dimensionless","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","ipcc_default","0.17","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","suggested_uncertainty_pct","30","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","suggested_distribution","triangular","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","suggested_lower_bound",<NA>,"10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","suggested_upper_bound",<NA>,"10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","param_type","coefficient","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","param_tier","advanced","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","user_reducible","FALSE","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","ipcc_ref","Table 10.5","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ca","ipcc_software_name","Ca — Activity coefficient","10","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","definition","Growth coefficient for the NEg equation — depends on sex and physiological status (IPCC Eq 10.6)","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","unit","dimensionless","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","ipcc_default","0.8","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","suggested_uncertainty_pct","30","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","suggested_distribution","triangular","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","suggested_lower_bound",<NA>,"11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","suggested_upper_bound",<NA>,"11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","param_type","coefficient","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","param_tier","advanced","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","user_reducible","FALSE","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","ipcc_ref","Eq 10.6","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","C","ipcc_software_name","(C) — Growth coefficient (sex-dependent: female 0.8 / castrate 1.0 / bull 1.2)","11","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","definition","Pregnancy coefficient — 0.10 for pregnant animals (IPCC Table 10.7)","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","unit","dimensionless","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","ipcc_default","0.1","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","suggested_uncertainty_pct","10","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","suggested_distribution","beta","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","suggested_lower_bound",<NA>,"12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","suggested_upper_bound",<NA>,"12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","param_type","coefficient","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","param_tier","advanced","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","user_reducible","FALSE","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","ipcc_ref","Table 10.7","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Cp","ipcc_software_name","Cpregnancy — Coefficient for calculating Net Energy for Pregnancy","12","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","definition","Daily working hours (Eq. 10.11) — set 0 if animals do no work; relevant only where animals are used for traction/load","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","unit","hours/day","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","ipcc_default","0","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","suggested_uncertainty_pct","20","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","suggested_distribution","pert","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","suggested_lower_bound",<NA>,"13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","suggested_upper_bound",<NA>,"13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","param_type","coefficient","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","param_tier","core","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","user_reducible","TRUE","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","ipcc_ref","Eq 10.11","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","hours","ipcc_software_name","(hours) — Daily working hours","13","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","definition","Crude protein (CP%) content of the diet — used to estimate nitrogen excretion","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","unit","%","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","ipcc_default","10","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","suggested_uncertainty_pct","15","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","suggested_distribution","normal","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","suggested_lower_bound",<NA>,"14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","suggested_upper_bound",<NA>,"14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","param_type","coefficient","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","param_tier","core","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","user_reducible","TRUE","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","ipcc_ref","Eq 10.32","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","CP","ipcc_software_name","CP% — Percent crude protein in diet","14","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","definition","Methane conversion factor: % of gross energy in feed converted to methane (IPCC Table 10.12)","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","unit","%","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","ipcc_default","6.5","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","suggested_uncertainty_pct","20","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","suggested_distribution","pert","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","suggested_lower_bound",<NA>,"15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","suggested_upper_bound",<NA>,"15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","param_type","coefficient","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","param_tier","advanced","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","user_reducible","FALSE","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","ipcc_ref","Table 10.12","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Ym","ipcc_software_name","Ym — Methane conversion factor (% of GE → CH4)","15","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","definition","Maximum CH₄ producing capacity of manure (IPCC Table 10.16)","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","unit","m3 CH₄/kg VS","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","ipcc_default","0.13","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","suggested_uncertainty_pct","20","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","suggested_distribution","pert","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","suggested_lower_bound",<NA>,"16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","suggested_upper_bound",<NA>,"16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","param_type","coefficient","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","param_tier","advanced","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","user_reducible","FALSE","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","ipcc_ref","Table 10.16","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Bo","ipcc_software_name","Bo — Maximum methane producing capacity","16","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","definition","Ash content of manure — IPCC default 0.08 (Eq 10.24 footnote)","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","unit","fraction","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","ipcc_default","0.08","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","suggested_uncertainty_pct","25","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","suggested_distribution","pert","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","suggested_lower_bound",<NA>,"17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","suggested_upper_bound",<NA>,"17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","param_type","coefficient","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","param_tier","advanced","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","user_reducible","FALSE","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","ipcc_ref","Eq 10.24","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","ASH","ipcc_software_name","ASH — Ash content of manure (fraction of dry matter)","17","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","definition","Urinary energy as fraction of gross energy — IPCC default 0.04 (Eq 10.24 footnote)","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","unit","fraction","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","ipcc_default","0.04","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","suggested_uncertainty_pct","25","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","suggested_distribution","pert","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","suggested_lower_bound",<NA>,"18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","suggested_upper_bound",<NA>,"18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","param_type","coefficient","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","param_tier","advanced","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","user_reducible","FALSE","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","ipcc_ref","Eq 10.24","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","UE","ipcc_software_name","UE — Urinary Energy fraction of GE","18","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","definition","N₂O emission factor for dung/urine on pasture (IPCC Vol.4 Ch.11 Table 11.1). 2019R EF3_PRP,CPP for cattle/poultry/pigs: aggregated 0.004; wet climate 0.006; dry climate 0.002. 2006 = 0.02.","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","unit","kg N2O-N/kg N","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","ipcc_default","0.006","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","suggested_uncertainty_pct",<NA>,"19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","suggested_distribution","pert","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","suggested_lower_bound","5e-04","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","suggested_upper_bound","0.027","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","param_type","coefficient","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","param_tier","advanced","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","user_reducible","FALSE","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","ipcc_ref","Ch.11 Table 11.1","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF3_PRP","ipcc_software_name","EF3(PRP) — Direct N₂O EF, manure on pasture/range/paddock","19","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","definition","N₂O EF for atmospheric N deposition (IPCC Vol.4 Ch.11 Table 11.3). 2019R aggregated EF4 = 0.010 (range 0.002-0.018); wet climate 0.014; dry climate 0.005. 2006 = 0.010.","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","unit","kg N2O-N/kg N","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","ipcc_default","0.014","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","suggested_uncertainty_pct",<NA>,"20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","suggested_distribution","lognormal","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","suggested_lower_bound","0.011","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","suggested_upper_bound","0.017","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","param_type","coefficient","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","param_tier","advanced","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","user_reducible","FALSE","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","ipcc_ref","Ch.11 Table 11.3","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF4","ipcc_software_name","EF4 — N₂O EF for atmospheric N deposition (Vol 4 Ch 11)","20","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","definition","N₂O EF for N leaching/runoff (IPCC Vol.4 Ch.11 Table 11.3). 2019R EF5 = 0.011 (range 0.000-0.020), no climate disaggregation. 2006 = 0.0075.","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","unit","kg N2O-N/kg N","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","ipcc_default","0.011","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","suggested_uncertainty_pct",<NA>,"21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","suggested_distribution","lognormal","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","suggested_lower_bound","5e-04","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","suggested_upper_bound","0.02","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","param_type","coefficient","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","param_tier","advanced","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","user_reducible","FALSE","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","ipcc_ref","Ch.11 Table 11.3","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","EF5","ipcc_software_name","EF5 — N₂O EF for N leaching/runoff (Vol 4 Ch 11)","21","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","definition","Fraction of N volatilised from dung/urine on pasture (IPCC Vol.4 Ch.11 Table 11.3, FracGASM). 2019R = 0.21 (range 0.00-0.31); 2006 = 0.20.","22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","unit","fraction","22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","ipcc_default","0.21","22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","suggested_uncertainty_pct",<NA>,"22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","suggested_distribution","pert","22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","suggested_lower_bound","0.005","22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","suggested_upper_bound","0.31","22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","param_type","coefficient","22","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","Frac_GASM_PRP","param_tier","advanced","22","fbfa1bc","2026-07-10"
